height_diff,weight_diff,reach_diff,winner
-2.54,0,-5.08,1
0,0,5.08,1
-5.08,0,-7.62,1
10.16,9.08,12.7,1
7.62,0,20.32,1
0,4.54,10.16,1
-5.08,0,2.54,0
2.54,-4.54,-10.16,1
10.16,0,12.7,0
-10.16,0,10.16,0
2.54,0,0,0
5.08,-9.08,15.24,0
0,0,-5.08,1
-7.62,0,-5.08,1
2.54,0,12.7,0
10.16,0,12.7,1
-5.08,-2.27,-5.08,1
7.62,0,7.62,1
2.54,0,5.08,1
-12.7,0,-12.7,1
2.54,0,-2.54,1
-5.08,0,-7.62,0
0,0,-10.16,1
5.08,0,10.16,0
7.62,9.08,5.08,1
0,0,-2.54,1
7.62,15.88,12.7,0
0,0,17.78,0
-20.32,0,-12.7,1
0,0,-10.16,1
-15.24,0,-7.62,0
-12.7,0,2.54,1
-7.62,0,-5.08,1
-5.08,0,-7.62,0
-2.54,0,0,1
0,0,7.62,0
5.08,0,7.62,0
2.54,0,-10.16,1
-7.62,9.98,-10.16,1
-2.54,0,2.54,1
0,-6.8,7.62,1
-7.62,4.54,-7.62,0
-2.54,0,-10.16,0
7.62,0,5.08,1
5.08,0,2.54,0
-2.54,0,-15.24,1
12.7,0,0,1
5.08,0,5.08,1
10.16,0,17.78,1
2.54,-1.82,10.16,0
-5.08,0,0,1
-5.08,-4.54,0,0
0,0,-2.54,1
-2.54,-11.34,-7.62,1
2.54,0,0,0
0,-4.54,2.54,1
7.62,0,7.62,1
5.08,0,5.08,0
10.16,0,7.62,0
2.54,0,2.54,1
-5.08,0,-5.08,1
-12.7,0,-12.7,0
0,0,2.54,0
-2.54,0,-10.16,0
2.54,0,2.54,1
-2.54,6.8,-5.08,0
7.62,0,10.16,1
2.54,0,-12.7,0
-7.62,0,5.08,1
5.08,-6.8,15.24,1
-2.54,4.53,5.08,1
-7.62,0,5.08,1
